"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C2";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"100nF";;;
2;"H5,H1,H4,H2,H3,H6";"MountingHole_2.2mm_M2";6;"MountingHole";;;
3;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"current_measurement";;;
4;"D1";"DIOM5025X220N";1;"SS54-HF";;;
5;"R4";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";1;"0.08Ω";;;
6;"C1";"CAP_16SVP3R3M";1;"16SVP3R3M";;;
7;"U2";"IC_XTR111AIDGQR";1;"LM3409HV";;;
8;"D2";"LED_SBT-10X-UV-A120-AH380-22";1;"SBT-10X-UV-A120-AH380-22";;;
9;"L1";"HPC-8040NV-100M";1;"10µH";;;
10;"R1";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"24kΩ";;;
11;"Q1";"SOT-23";1;"AO3401A";;;
12;"J2";"PinSocket_1x02_P2.54mm_Vertical";1;"ADJ";;;
13;"R3";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"6.2kΩ";;;
14;"C5";"C_1812_4532Metric_Pad1.57x3.40mm_HandSolder";1;"470nF";;;
15;"R2";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"4.7kΩ";;;
16;"C3";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"1nF";;;
17;"J1";"PinSocket_1x03_P2.54mm_Vertical";1;"Conn_01x03_Pin";;;
18;"C4";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"1µF";;;
